rate,strategy,split,speed,pressure
1,region-aware,val,0.0401955172419548,0.2018929272890091
1,region-aware,test,0.04151885863393545,0.24813717976212502
1,uniform,val,0.05744704231619835,0.1721464991569519
1,uniform,test,0.06332279369235039,0.22191578336060047
5,region-aware,val,0.028904156759381294,0.12548905611038208
5,region-aware,test,0.03370740357786417,0.19239028356969357
5,uniform,val,0.023380670696496964,0.11988795548677444
5,uniform,test,0.02406579814851284,0.18918643705546856
10,region-aware,val,0.02285476215183735,0.11870130896568298
10,region-aware,test,0.02785729616880417,0.1874693837016821
10,uniform,val,0.022646740078926086,0.10970044136047363
10,uniform,test,0.028740704990923405,0.18368656933307648
15,region-aware,val,0.02282065898180008,0.11679359525442123
15,region-aware,test,0.029468810185790062,0.18722832947969437
15,uniform,val,0.025241730734705925,0.1153220385313034
15,uniform,test,0.03257483523339033,0.1866445392370224
