strategy,split,case_id,region_id,region_name,n_points,rel_l2_speed,rel_l2_p,mae_speed,mae_p
region-aware,val,C-val,0,主体区,576,0.027733163378385814,0.13514696481890692,0.04344994041785582,110.22091440219447
region-aware,val,C-val,1,收缩段,328,0.019710567459075116,0.09928219847996558,0.024028892729868807,90.7496974390244
region-aware,val,C-val,2,近壁区,785,0.038787488917872925,0.13101395732459434,0.021965432035322655,89.92053777636943
region-aware,test,C-test-1,0,主体区,750,0.015430271058986547,0.05388452876761282,0.023074681298423216,22.555954270458663
region-aware,test,C-test-1,1,收缩段,360,0.01563450720777956,0.05499921130096923,0.01874983283598195,27.488169361111108
region-aware,test,C-test-1,2,近壁区,790,0.034319098232059635,0.055204057791514057,0.014961548564301135,19.518419622230127
region-aware,test,C-test-2,0,主体区,473,0.04224949093647957,0.3351902696872383,0.05860388817093965,562.3712643995772
region-aware,test,C-test-2,1,收缩段,285,0.022580476334705373,0.3137470976621443,0.029311588624246616,583.5564955438597
region-aware,test,C-test-2,2,近壁区,787,0.06176078369325989,0.3349938716671518,0.05081287673104885,447.3454116683609
uniform,val,C-val,0,主体区,576,0.011046907620996124,0.11540519726905984,0.017342464734614333,94.08739637673612
uniform,val,C-val,1,收缩段,328,0.026643814270755455,0.11325703312743789,0.03513199829981248,108.3659382621951
uniform,val,C-val,2,近壁区,785,0.037341655380085687,0.1278131852310891,0.020328806861355027,90.13352268687898
uniform,test,C-test-1,0,主体区,750,0.011399890853635752,0.04394038933145087,0.01623883680732493,19.058235383094665
uniform,test,C-test-1,1,收缩段,360,0.020082999149005857,0.03448445128871427,0.022583239100854406,17.99153530555556
uniform,test,C-test-1,2,近壁区,790,0.025106375920691534,0.05469614002210496,0.01010368116402601,20.150384797886076
uniform,test,C-test-2,0,主体区,473,0.012764806723144246,0.32097525793863096,0.023133303571867384,538.5786187526428
uniform,test,C-test-2,1,收缩段,285,0.027613434973724,0.3298904056974984,0.03629000962871888,615.3025936491227
uniform,test,C-test-2,2,近壁区,787,0.04496155582711814,0.34283542696828556,0.03656255603972501,462.04474432401526
